QuestionID	QuestionNumber	QuestionText	Answer	Topic	Source	Author Full Name	TourName	TourLink
5024	5	"В послевоенные годы заключенных освобождали с формулой — ""минус 36"". Что это означало?"	лишение права жить в тридцати шести крупных городах страны	Красный раунд. Минус	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5025	1	"Скажите по-латыни ""Славься, Маша"""	Ave Maria	Красный раунд. Маша	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5026	2	С 1982 в Афинах проводится Международный конкурс вокалистов имени ее	Мария Каллас	Красный раунд. Маша	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5027	3	Мария Федоровна Нагая, седьмая жена этого человека, была выслана с сыном в Углич, а после его гибели пострижена в монахини.	Иван Грозный	Красный раунд. Маша	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5028	4	"Эта российская актриса была первой исполнительницей роли Маши в пьесе А.П.Чехова ""Три сестры"""	Ольга Книппер-Чехова	Красный раунд. Маша	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5029	5	"""Дозволено ли так к Вам обратиться? Ведь Вы — сама поэзия во плоти — не можете не знать, что одно Ваше имя — поэма"" Кому так написала Марина Цветаева?"	Райнеру Марие Рильке	Красный раунд. Маша	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5030	1	так по-другому называется Аюдаг	медведь-гора	Красный раунд. и Медведи	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5031	2	Малая обитает в горах на юго-западе Китая, на севере Мьянмы и Непала. Большую чаще называют бамбуковым медведем.	панда	Красный раунд. и Медведи	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5032	3	Эти медведи появились в NHL в 1924 году	"Boston Bruins, ""Медведи из Бостона"""	Красный раунд. и Медведи	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5033	4	Она прочитала сто книг о медведях, чтобы знать о некоторых повадках этих животных. Один из них позже ей встретился.	"принцесса из ""Обыкновенного чуда"""	Красный раунд. и Медведи	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5034	5	Этот генерал-майор впервые описал дикого верблюда, медведя-пищухоеда и другие виды позвоночных	Пржевальский	Красный раунд. и Медведи	None	Михаил Перлин	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5035	1	Эта история первоначально задумывалась как нравоучение для молодых девушек	"""Красная шапочка"""	Синий раунд. КРАСНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5036	2	"Именно туда так и не попал герой поемы ""Москва — Петушки"""	Красная площадь	Синий раунд. КРАСНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5037	3	Содержание этого повышается у человека при жизни в горах	красные кровяные тельца (эритроциты)	Синий раунд. КРАСНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5038	4	Именно так расшифровывается название террористической организации РАФ	Рот Армее Фракцион, фракция красной армии	Синий раунд. КРАСНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5039	5	"Именно этот немецкий футбольный клуб называют ""красные дьяволы"""	1 FC Kaiserslautern	Синий раунд. КРАСНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5040	1	Именно в это море впадает Желтая река Хуанхе	в Желтое!	Синий раунд. ЖЕЛТЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5041	2	Именно туда упрячет доктор, если осерчает	"Желтый дом (Высоцкий, ""история болезни"")"	Синий раунд. ЖЕЛТЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5042	3	С помощью этого эмульгатора смешивают масло и уксусный раствор при изготовлении майонеза	желток от яйца	Синий раунд. ЖЕЛТЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5043	4	Клетки именно этого органа поражает желтуха	печень	Синий раунд. ЖЕЛТЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5044	5	"Именно это осталось от злобной перчатки в финале мультфильма ""Yellow submarine"""	"Любовь (""Glove"" (перчатке) отбили первую букву и получилось ""Love"")"	Синий раунд. ЖЕЛТЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5045	1	Этот вегетарианец, пацифист и друг разносчиков заразы был уничтожен земноводным того же цвета	кузнечик	Синий раунд. ЗЕЛЕНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5046	2	У этого остроухого персонажа Леонарда Нимого кровь была зеленой	Мистер Спок	Синий раунд. ЗЕЛЕНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5047	3	В стихотворении этого поэта нагромождение звуков наделено умением передвигается	Некрасов (идет бредет зеленый шум)	Синий раунд. ЗЕЛЕНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5048	4	Этот цвет не могут отличить от зеленого дальтоники	красный	Синий раунд. ЗЕЛЕНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5049	5	"Именно этого мифического ирландца Гумилев в одном из своих стихотворений назвал ""зеленого Ерина Воин"""	Кухулин	Синий раунд. ЗЕЛЕНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5050	1	Именно так называется самое крупное млекопитающее	синий кит	Синий раунд. СИНИЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5051	2	Именно это хочет сказать американец, говоря что он чувствует себя синим	Что он печален (I'm feeling blue)	Синий раунд. СИНИЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5052	3	Эта соль синильной кислоты смертельно опасна для человека	цианистый калий (циан = синий)	Синий раунд. СИНИЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5053	4	Так называлось созданное в 1909 г. в Мюнхене объединение экспрессионистов	синий всадник	Синий раунд. СИНИЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5054	5	"Эта ""джинсовая"" группа возникла на волне интереса к музыкантам из Ливерпуля и к характерному для них ""звучанию Мерси"""	SWINGING BLUE JEANS	Синий раунд. СИНИЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5055	1	Именно его требовал вернуть сумасшедший бухгалтер Берлага	любимого белого слона	Синий раунд. БЕЛЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5056	2	До гражданской войны в США он был самым большим зданием в стране	Белый Дом	Синий раунд. БЕЛЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5057	3	Именно он является самым большим наземным хищником	белый медведь	Синий раунд. БЕЛЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5058	4	Именно это музыкальное название Андрей Белый любил давать своим произведениям	симфонии	Синий раунд. БЕЛЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5059	5	По легенде, они стали такими, когда на их лепестки капнули слезы Марии Магдалины	белые розы	Синий раунд. БЕЛЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5060	1	Именно она заняла второе место в всем известной регате	"""Черная каракатица"""	Синий раунд. ЧЕРНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5061	2	Белая смерть — это сахар или соль, а черная?	чума	Синий раунд. ЧЕРНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5062	3	Южнее этого объекта начинается Черная Африка	Сахара	Синий раунд. ЧЕРНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5063	4	Именно этого основателя религии в средневековье считали основателем черной магии	Заратустра	Синий раунд. ЧЕРНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5064	5	Эту группу любила в детстве слушать Земфира	"""Black Sabbatt"""	Синий раунд. ЧЕРНЫЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5065	1	По утверждению Вахтанга Кикабидзе именно это и было его богатством	его года	Красный раунд. МОЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5066	2	"Именно эта фраза Билли из фильма ""Человек с бульвара капуцинов"" больше всего запомнилась автору"	"""это был мой бифштекс!"""	Красный раунд. МОЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5067	3	"До сих пор неизвестно чем ЭТОТ калека занимался в ""маминой спальне"""	мойдодыр	Красный раунд. МОЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5068	4	Именно так Бильбо Бэггинс однажды назвал кольцо всевластья	моя прелесть	Красный раунд. МОЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5069	5	Именно эту строку Пушкина Тынянов вынес в заглавие своей книги о поэте	"""Храни меня мой талисман"""	Красный раунд. МОЙ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5070	1	Лидера этой рок-группы называют дядя Федор	"""Ноль"""	Красный раунд. ДЯДЯ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5071	2	Так звали с детства известного нам предводителя морской пехоты	Черномор	Красный раунд. ДЯДЯ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5072	3	Про этот корабль рассказывал ребятам дядя Степа	"Линкор ""Марат"""	Красный раунд. ДЯДЯ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5073	4	Именно у этой русской императрицы был дядя Ваня	Елизавета	Красный раунд. ДЯДЯ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5074	5	Именно за него кот Матроскин в новогоднюю ночь принял отца дяди Федора	Иван Федорович Крузенштерн	Красный раунд. ДЯДЯ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5075	1	Именно этот пивовар начал выпускать книгу с самыми-самыми...	Гиннес	Красный раунд. САМЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5076	2	Кроме отделения гороха от чечевицы и выравнивания роз Золушка должна была сделать еще и это	познать самое себя	Красный раунд. САМЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5077	3	Карлсон был самым лучшим в мире рисовальщиком их	Петухов	Красный раунд. САМЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5078	4	Самоанцев в этом американском городе больше, чем во всем Американском Самоа.	Лос Анджелес	Красный раунд. САМЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5079	5	В Китае самая высокая скорость у профессионалок в этом не больше 11 слов в минуту, в то время как в Европе рекорд измеряется в десятках и сотнях	печатанье на машинке	Красный раунд. САМЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5080	1	Именно так положено обращаться к судьям	ваша честь	Красный раунд. ЧЕСТНЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5081	2	По правилам именно этой игры большинство людей являются честными	мафия	Красный раунд. ЧЕСТНЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5082	3	"Именно об этом говорится в русской поговорке ""честь пива лучше"""	о приглашении	Красный раунд. ЧЕСТНЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5083	4	Этот фильм про безродного космополита Лосева в 1948 году снял режиссер М. Ром	"""Суд чести"""	Красный раунд. ЧЕСТНЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5084	5	Шопенгауэр назвал честь внешней совестью, а совесть он назвал именно так	внутренняя честь	Красный раунд. ЧЕСТНЫХ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5085	1	Именно так надо поступить находясь в метро и увидев человека с белой тростью	помочь ему (это инвалид по зрению). [из правил пользования метрополитеном]	Красный раунд. ПРАВИЛ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5086	2	"Именно это является правильным ответом на вопрос ""кто пасется на лугу?"""	коровы	Красный раунд. ПРАВИЛ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5087	3	Именно этот документ начинается с общих положений и заканчивается дополнительными требованиями к движению велосипедов, мопедов, гужевых повозок, а также прогону скота	Правила Дорожного Движения РФ	Красный раунд. ПРАВИЛ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5088	4	Именно он правил в Германии с 1152 по 1190 год	Фридрих Барбаросса	Красный раунд. ПРАВИЛ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5089	5	По правилам футбола именно это должен назначить арбитр, если игрок забросил аут в свои ворота	угловой	Красный раунд. ПРАВИЛ	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5090	1	Именно этим занимался автор вопроса в послеобеденное время 10 марта 1996 года	играл в Ч?Г?К?	Красный раунд. КОГДА	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5091	2	"Именно тогда ""в терпком воздухе вскрикнет последний мой бумажный пароход"""	"""когда умолкнут все песни, которых я не знаю"""	Красный раунд. КОГДА	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5092	3	Книги с именно таким названием написали Дж. Лондон и А. Маринина	"""Когда боги смеются"""	Красный раунд. КОГДА	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5093	4	Именно так заканчивается лермонтовское Бородино	"""Когда б на то не божья воля, не отдали б Москвы"""	Красный раунд. КОГДА	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5094	5	"Именно эта басня Крылова начинается со слова ""когда"""	"""Лебедь, рак и щука"""	Красный раунд. КОГДА	None	Борис Гоз, Максим Ли	"""Своя игра"" из Германии."	https://db.chgk.info/tour/jeo01
5095	1	Эта скромная луговая травка в народе называется заячьей капусткой, а настоящее ее название...	кислица	Капуста	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5096	2	В этой знаменитой книге капуста встречается только в заглавии и далее не упоминается.	"""Короли и капуста"""	Капуста	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5097	3	"Русское слово ""щи"" известно во всем мире и обозначает капустный суп; однако были в России кислые щи, с капустой не связанные и представлявшие собой..."	сорт кислого кваса	Капуста	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5098	4	Этот витамин содержится в капусте и весьма способствует заживлению язвы желудка.	Витамин U (от латинского ulcer — язва)	Капуста	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5099	5	Это национальное эльзасское блюдо представляет собой квашеную капусту, тушенную в белом вине с колбасой, ветчиной и сосисками, и подается на стол в огромной кастрюле.	Шукрут	Капуста	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5100	1	Сколько строк содержит классический сонет?	14	Сколько?	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5101	2	Одним из подвигов Геракла было усмирение пса Цербера, имя которого стало нарицательным. Сколько у Цербера было голов?	3	Сколько?	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5102	3	Сколько писателей объединилось под псевдонимом Козьма Прутков?	Трое писали, четвертый только рисовал	Сколько?	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5103	4	Сколько пьес написал Шекспир?	37	Сколько?	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5104	5	Сколько нулей в числе сто квадриллионов?	17	Сколько?	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5105	1	В японском языке, помимо иероглифов, используются две системы слогового письма...	катакана и хирагана	Письменность	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5106	2	"Название этой системы письменности в переводе с санскрита означает ""божественное письмо""."	Деванагари	Письменность	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5107	3	В алфавите, изобретенном героем этого рассказа, флаг обозначал конец слова.	"А. Конан Дойль ""Пляшущие человечки"""	Письменность	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5108	4	При использовании этого древнего способа письма первая строка пишется слева направо, а вторая — справа налево и т. д.	Бустрофедон	Письменность	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5109	5	Этот армянский монах прославился тем, что изобрел алфавит не только для родного языка, но и для соседей-грузин.	Месроп Маштоц	Письменность	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5110	1	Самая яркая звезда на небе...	Сириус	Гори, гори, моя звезда...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5111	2	"Знак отличия ""Маршальская звезда"" вручается при присвоении звания..."	генерала армии	Гори, гори, моя звезда...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5112	3	Эта звезда была древним символом Иверии, а ныне входит в государственный герб Грузии.	Семиконечная звезда	Гори, гори, моя звезда...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5113	4	"Эта двойная звезда в созвездии Большой Медведицы называлась у индейцев ""ребенок за плечами у скво"" и служила для проверки зоркости."	Мицар	Гори, гори, моя звезда...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5114	5	Популярный в советское время роман Мусатова был назван по имени этого созвездия.	"""Стожары"" (Стожары — русское название созвездия Плеяды)"	Гори, гори, моя звезда...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5115	1	Этот литературный персонаж нашел свое призвание в должности начальника подотдела по уничтожению котов.	"Шариков (""Собачье сердце"")"	Коты и кошки	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5116	2	Коты этой редкой породы озадачивают своим умением исчезать по частям.	Чеширский Кот	Коты и кошки	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5117	3	"При переводе этой знаменитой сказки вместо ""кот"" обычно ошибочно используется ""кошка""."	"Киплинг ""Кошка, которая гуляла сама по себе"""	Коты и кошки	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5118	4	Эта богиня считалась прародительницей и покровительницей всех кошек Египта.	Баст	Коты и кошки	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5119	5	Кто из знаменитых писателей написал роман от имени кота?	"Гофман ""Житейские воззрения кота Мурра"""	Коты и кошки	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5120	1	Эта специфическая единица, применяемая для измерения веса драгоценных камней, равна...	200 мг	Семь раз отмерь...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5121	2	Сколько в метре ангстрем?	10 млрд	Семь раз отмерь...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5122	3	Согласно этой шкале, вода замерзает при температуре +32 градуса.	Шкала Фаренгейта	Семь раз отмерь...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5123	4	Эта единица названа в честь выдающегося французского физика и служит для измерения вязкости жидкости.	Пуаз	Семь раз отмерь...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5124	5	Прибор буссоль служит для измерения...	Магнитного азимута	Семь раз отмерь...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5125	1	Какого цвета кровь у осьминога?	Голубая	Дары моря	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5126	2	Эта смертельно ядовитая рыба — лакомое блюдо у японцев.	Фугу	Дары моря	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5127	3	Любимый нашими телезрителями многосерийный фильм об итальянской мафии так и назывался -...	"""Спрут"""	Дары моря	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5128	4	По словам деда Щукаря, в общем котле сварилась не лягушка, а...	устрица	Дары моря	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5129	5	Эта одноклеточная водоросль широко используется для очистки воздуха в космических кораблях.	Хлорелла	Дары моря	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5130	1	Каково было отчество Татьяны Лариной?	Дмитриевна	Отцы-молодцы	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5131	2	Если сын — лошак, то отец его, соответственно...	Жеребец	Отцы-молодцы	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5132	3	Этот почетный титул присваивался Римским Сенатом за особые заслуги перед отечеством.	Pater patriae (отец отечества)	Отцы-молодцы	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5133	4	У жителей этой европейской страны вообще нет фамилий, а есть только отчества.	Исландия	Отцы-молодцы	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5134	5	Судя по названию лифта этого типа, в нем можно подняться прямо к богу.	Патерностер (непрерывный многокабинный подъемник)	Отцы-молодцы	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5135	1	Как называется государственный язык Индонезии?	индонезийский	Язык до Киева...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5136	2	Сколько государственных языков в Андорре?	3	Язык до Киева...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5137	3	Некое зеленое животное, в совершенстве освоившее столь трудный турецкий язык, по имени-отчеству именовалось...	Крокодил Крокодилович (герой Чуковского)	Язык до Киева...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5138	4	"Из какого языка пришло в русский язык слово ""лавсан""?"	Это исконно русское слово (лаборатория высокомолекулярных соединений АН)	Язык до Киева...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5139	5	Наука о германских языках и литературе называется германистикой, о славянских — славистикой; а о литовском языке и литературе?	Литуанистика	Язык до Киева...	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5140	1	Именно этот элемент наиболее распространен во Вселенной.	Водород	Элементы	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
5141	2	Один из редкоземельных элементов был так назван в честь знаменитой европейской столицы.	Лютеций (в честь Парижа)	Элементы	None	Александр Шелёмин, Тема 1, ... None	"""Своя игра"" с сайта Анатолия Белкина (""Неспроста"")"	https://db.chgk.info/tour/belkin
